时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2023-08-23,三	18.63		21.99		17.77		17.90		+70.48%		40.19%		19,873,832	380,829,630	0		0		
2023-08-24,四	15.88		16.30		13.80		13.94		-22.12%		13.97%		13,250,197	199,325,970	0		0		
2023-08-25,五	13.39		13.50		11.90		11.90		-14.63%		11.48%		9,022,898	114,239,057	0		0		
2023-08-28,一	13.00		14.28		12.28		12.61		+5.97%		16.81%		9,298,252	123,786,718	0		0		
2023-08-29,二	12.10		13.63		11.81		13.33		+5.71%		14.43%		5,834,377	74,814,581	0		0		
2023-08-30,三	13.20		13.80		12.82		12.97		-2.70%		7.35%		4,711,495	62,372,243	0		0		
2023-08-31,四	13.17		15.33		13.06		14.85		+14.49%		17.50%		8,249,910	116,984,659	0		0		
2023-09-01,五	14.56		15.00		13.91		14.90		+0.34%		7.34%		6,761,747	97,931,047	0		0		
2023-09-04,一	15.32		16.50		14.55		14.66		-1.61%		13.09%		7,311,196	114,007,837	0		0		
2023-09-05,二	14.20		14.33		13.51		13.52		-7.78%		5.59%		4,988,695	69,166,111	0		0		
2023-09-06,三	13.38		13.82		13.34		13.61		+0.67%		3.55%		3,403,264	46,134,084	0		0		
2023-09-07,四	13.65		13.97		13.14		13.22		-2.87%		6.10%		3,114,083	42,203,371	0		0		
2023-09-08,五	13.25		13.28		12.50		12.86		-2.72%		5.90%		2,884,627	36,836,577	0		0		
2023-09-11,一	12.88		12.95		12.52		12.73		-1.01%		3.34%		1,960,474	24,798,123	0		0		
2023-09-12,二	12.70		12.73		12.44		12.48		-1.96%		2.28%		1,566,238	19,664,407	0		0		
2023-09-13,三	12.52		13.45		12.41		13.23		+6.01%		8.33%		4,185,441	54,465,026	0		0		
2023-09-14,四	12.91		13.09		12.46		12.52		-5.37%		4.76%		2,716,020	34,599,671	0		0		
2023-09-15,五	12.56		12.87		12.10		12.75		+1.84%		6.15%		2,536,200	31,503,129	0		0		
2023-09-18,一	12.57		12.93		12.51		12.64		-0.86%		3.29%		1,028,936	13,074,356	0		0		
2023-09-19,二	12.60		12.60		12.06		12.16		-3.80%		4.27%		2,332,556	28,544,788	0		0		
2023-09-20,三	12.16		12.25		11.91		11.92		-1.97%		2.80%		1,287,261	15,526,046	0		0		
2023-09-21,四	11.89		12.03		11.82		11.91		-0.08%		1.76%		779,149		9,293,100	0		0		
2023-09-22,五	11.98		12.40		11.83		12.26		+2.94%		4.79%		1,603,253	19,536,376	0		0		
